category_id,category_name,description
CAT001,Rice & Grains,Rice & Grains grocery inventory category
CAT002,Coffee,Coffee grocery inventory category
CAT003,Fruits,Fruits grocery inventory category
CAT004,Flour & Baking Staples,Flour & Baking Staples grocery inventory category
CAT005,Cooking Oils,Cooking Oils grocery inventory category
CAT006,Eggs,Eggs grocery inventory category
CAT007,Dairy Essentials,Dairy Essentials grocery inventory category
CAT008,Sugar & Sweeteners,Sugar & Sweeteners grocery inventory category
CAT009,Bread,Bread grocery inventory category
CAT010,Cheese,Cheese grocery inventory category
CAT011,Vegetables,Vegetables grocery inventory category
CAT012,Fish & Seafood,Fish & Seafood grocery inventory category
CAT013,Biscuits & Cookies,Biscuits & Cookies grocery inventory category
CAT014,Tea,Tea grocery inventory category
CAT015,Fruits & Vegetables,Fruits & Vegetables grocery inventory category
CAT016,Seafood,Seafood grocery inventory category
CAT017,Grains & Pulses,Grains & Pulses grocery inventory category
CAT018,Dairy,Dairy grocery inventory category
