purchase_id,product_id,quantity,unit_cost,supplier_id,transaction_id,note,location_id
PUR00001,PRD0001,70,324,SUP001,PTRX00001,Online grocery dataset purchase row; last_order_date=6/29/2024,LOC001
PUR00002,PRD0002,2,1440,SUP002,PTRX00002,Online grocery dataset purchase row; last_order_date=5/29/2024,LOC002
PUR00003,PRD0003,83,432,SUP003,PTRX00003,Online grocery dataset purchase row; last_order_date=06-10-24,LOC003
PUR00004,PRD0004,62,108,SUP004,PTRX00004,Online grocery dataset purchase row; last_order_date=2/19/2025,LOC004
PUR00005,PRD0005,74,288,SUP005,PTRX00005,Online grocery dataset purchase row; last_order_date=10-11-24,LOC005
PUR00006,PRD0006,14,126,SUP006,PTRX00006,Online grocery dataset purchase row; last_order_date=5/26/2024,LOC001
PUR00007,PRD0007,16,180,SUP007,PTRX00007,Online grocery dataset purchase row; last_order_date=05-07-24,LOC002
PUR00008,PRD0008,17,180,SUP008,PTRX00008,Online grocery dataset purchase row; last_order_date=04-09-24,LOC003
PUR00009,PRD0009,11,216,SUP009,PTRX00009,Online grocery dataset purchase row; last_order_date=06-02-24,LOC004
PUR00010,PRD0010,15,72,SUP010,PTRX00010,Online grocery dataset purchase row; last_order_date=11/14/2024,LOC005
PUR00011,PRD0011,91,115,SUP011,PTRX00011,Online grocery dataset purchase row; last_order_date=5/24/2024,LOC001
PUR00012,PRD0012,6,144,SUP012,PTRX00012,Online grocery dataset purchase row; last_order_date=12-11-24,LOC002
PUR00013,PRD0013,31,216,SUP013,PTRX00013,Online grocery dataset purchase row; last_order_date=02-09-25,LOC003
PUR00014,PRD0014,76,288,SUP014,PTRX00014,Online grocery dataset purchase row; last_order_date=9/21/2024,LOC004
PUR00015,PRD0015,16,432,SUP015,PTRX00015,Online grocery dataset purchase row; last_order_date=6/30/2024,LOC005
PUR00016,PRD0016,15,504,SUP016,PTRX00016,Online grocery dataset purchase row; last_order_date=04-02-24,LOC001
PUR00017,PRD0017,88,108,SUP017,PTRX00017,Online grocery dataset purchase row; last_order_date=03-09-24,LOC002
PUR00018,PRD0018,26,576,SUP018,PTRX00018,Online grocery dataset purchase row; last_order_date=5/19/2024,LOC003
PUR00019,PRD0019,84,1440,SUP019,PTRX00019,Online grocery dataset purchase row; last_order_date=11-08-24,LOC004
PUR00020,PRD0020,82,144,SUP020,PTRX00020,Online grocery dataset purchase row; last_order_date=02-08-25,LOC005
