sale_id,transaction_id,product_id,quantity,unit_price,unit_cost,discount_percent,reorder_level,region,customer_type,customer_name,payment_method,note,location_id
SAL000001,STRX000001,PRD0001,32,450,324,0,72,,,,,Online grocery dataset sales row; status=Discontinued; turnover=19,LOC001
SAL000002,STRX000002,PRD0002,85,2000,1440,0,77,,,,,Online grocery dataset sales row; status=Discontinued; turnover=1,LOC002
SAL000003,STRX000003,PRD0003,31,600,432,0,38,,,,,Online grocery dataset sales row; status=Backordered; turnover=34,LOC003
SAL000004,STRX000004,PRD0004,95,150,108,0,59,,,,,Online grocery dataset sales row; status=Active; turnover=99,LOC004
SAL000005,STRX000005,PRD0005,62,400,288,0,30,,,,,Online grocery dataset sales row; status=Backordered; turnover=25,LOC005
SAL000006,STRX000006,PRD0006,34,175,126,0,33,,,,,Online grocery dataset sales row; status=Discontinued; turnover=62,LOC001
SAL000007,STRX000007,PRD0007,67,250,180,0,52,,,,,Online grocery dataset sales row; status=Active; turnover=13,LOC002
SAL000008,STRX000008,PRD0008,21,250,180,0,90,,,,,Online grocery dataset sales row; status=Discontinued; turnover=91,LOC003
SAL000009,STRX000009,PRD0009,56,300,216,0,84,,,,,Online grocery dataset sales row; status=Active; turnover=90,LOC004
SAL000010,STRX000010,PRD0010,27,100,72,0,10,,,,,Online grocery dataset sales row; status=Active; turnover=69,LOC005
SAL000011,STRX000011,PRD0011,100,160,115,0,81,,,,,Online grocery dataset sales row; status=Discontinued; turnover=42,LOC001
SAL000012,STRX000012,PRD0012,100,200,144,0,98,,,,,Online grocery dataset sales row; status=Backordered; turnover=20,LOC002
SAL000013,STRX000013,PRD0013,47,300,216,0,79,,,,,Online grocery dataset sales row; status=Discontinued; turnover=41,LOC003
SAL000014,STRX000014,PRD0014,69,400,288,0,50,,,,,Online grocery dataset sales row; status=Active; turnover=5,LOC004
SAL000015,STRX000015,PRD0015,63,600,432,0,26,,,,,Online grocery dataset sales row; status=Active; turnover=97,LOC005
SAL000016,STRX000016,PRD0016,20,700,504,0,13,,,,,Online grocery dataset sales row; status=Backordered; turnover=24,LOC001
SAL000017,STRX000017,PRD0017,66,150,108,0,93,,,,,Online grocery dataset sales row; status=Active; turnover=13,LOC002
SAL000018,STRX000018,PRD0018,78,800,576,0,49,,,,,Online grocery dataset sales row; status=Discontinued; turnover=61,LOC003
SAL000019,STRX000019,PRD0019,46,2000,1440,0,93,,,,,Online grocery dataset sales row; status=Active; turnover=84,LOC004
SAL000020,STRX000020,PRD0020,29,200,144,0,61,,,,,Online grocery dataset sales row; status=Backordered; turnover=11,LOC005
SAL000021,STRX000021,PRD0021,82,250,180,0,70,,,,,Online grocery dataset sales row; status=Discontinued; turnover=32,LOC001
SAL000022,STRX000022,PRD0022,52,1200,864,0,73,,,,,Online grocery dataset sales row; status=Active; turnover=62,LOC002
SAL000023,STRX000023,PRD0023,20,200,144,0,99,,,,,Online grocery dataset sales row; status=Discontinued; turnover=85,LOC003
SAL000024,STRX000024,PRD0024,73,100,72,0,46,,,,,Online grocery dataset sales row; status=Active; turnover=63,LOC004
SAL000025,STRX000025,PRD0025,59,1200,864,0,4,,,,,Online grocery dataset sales row; status=Active; turnover=71,LOC005
SAL000026,STRX000026,PRD0026,46,150,108,0,43,,,,,Online grocery dataset sales row; status=Backordered; turnover=78,LOC001
SAL000027,STRX000027,PRD0027,97,80,57,0,88,,,,,Online grocery dataset sales row; status=Discontinued; turnover=18,LOC002
SAL000028,STRX000028,PRD0028,94,600,432,0,87,,,,,Online grocery dataset sales row; status=Active; turnover=57,LOC003
SAL000029,STRX000029,PRD0029,50,500,360,0,9,,,,,Online grocery dataset sales row; status=Backordered; turnover=98,LOC004
SAL000030,STRX000030,PRD0030,61,450,324,0,20,,,,,Online grocery dataset sales row; status=Discontinued; turnover=62,LOC005
SAL000031,STRX000031,PRD0031,31,175,126,0,36,,,,,Online grocery dataset sales row; status=Backordered; turnover=81,LOC001
SAL000032,STRX000032,PRD0032,42,350,252,0,52,,,,,Online grocery dataset sales row; status=Backordered; turnover=32,LOC002
SAL000033,STRX000033,PRD0033,42,600,432,0,48,,,,,Online grocery dataset sales row; status=Discontinued; turnover=51,LOC003
SAL000034,STRX000034,PRD0034,25,3000,2160,0,45,,,,,Online grocery dataset sales row; status=Discontinued; turnover=37,LOC004
SAL000035,STRX000035,PRD0035,65,900,648,0,28,,,,,Online grocery dataset sales row; status=Discontinued; turnover=57,LOC005
SAL000036,STRX000036,PRD0036,60,200,144,0,22,,,,,Online grocery dataset sales row; status=Active; turnover=2,LOC001
SAL000037,STRX000037,PRD0037,43,450,324,0,69,,,,,Online grocery dataset sales row; status=Backordered; turnover=18,LOC002
SAL000038,STRX000038,PRD0038,51,345,248,0,48,,,,,Online grocery dataset sales row; status=Discontinued; turnover=50,LOC003
SAL000039,STRX000039,PRD0039,79,250,180,0,90,,,,,Online grocery dataset sales row; status=Discontinued; turnover=84,LOC004
SAL000040,STRX000040,PRD0040,47,300,216,0,90,,,,,Online grocery dataset sales row; status=Discontinued; turnover=9,LOC005
SAL000041,STRX000041,PRD0041,39,500,360,0,55,,,,,Online grocery dataset sales row; status=Discontinued; turnover=15,LOC001
SAL000042,STRX000042,PRD0042,66,230,165,0,7,,,,,Online grocery dataset sales row; status=Discontinued; turnover=4,LOC002
SAL000043,STRX000043,PRD0043,25,1500,1080,0,13,,,,,Online grocery dataset sales row; status=Backordered; turnover=34,LOC003
SAL000044,STRX000044,PRD0044,40,300,216,0,100,,,,,Online grocery dataset sales row; status=Discontinued; turnover=21,LOC004
SAL000045,STRX000045,PRD0045,32,350,252,0,36,,,,,Online grocery dataset sales row; status=Backordered; turnover=70,LOC005
SAL000046,STRX000046,PRD0046,66,150,108,0,88,,,,,Online grocery dataset sales row; status=Discontinued; turnover=42,LOC001
SAL000047,STRX000047,PRD0047,37,150,108,0,74,,,,,Online grocery dataset sales row; status=Discontinued; turnover=22,LOC002
SAL000048,STRX000048,PRD0048,44,600,432,0,24,,,,,Online grocery dataset sales row; status=Backordered; turnover=34,LOC003
SAL000049,STRX000049,PRD0049,24,500,360,0,46,,,,,Online grocery dataset sales row; status=Discontinued; turnover=75,LOC004
SAL000050,STRX000050,PRD0050,42,400,288,0,84,,,,,Online grocery dataset sales row; status=Active; turnover=65,LOC005
SAL000051,STRX000051,PRD0051,38,450,324,0,36,,,,,Online grocery dataset sales row; status=Backordered; turnover=75,LOC001
SAL000052,STRX000052,PRD0052,95,300,216,0,45,,,,,Online grocery dataset sales row; status=Discontinued; turnover=72,LOC002
SAL000053,STRX000053,PRD0053,96,340,244,0,80,,,,,Online grocery dataset sales row; status=Discontinued; turnover=68,LOC003
SAL000054,STRX000054,PRD0054,61,250,180,0,87,,,,,Online grocery dataset sales row; status=Backordered; turnover=31,LOC004
SAL000055,STRX000055,PRD0055,35,1200,864,0,89,,,,,Online grocery dataset sales row; status=Active; turnover=36,LOC005
