product_id,quantity,note,location_id
PRD0001,70,Source reorder quantity from online grocery inventory dataset,LOC001
PRD0002,2,Source reorder quantity from online grocery inventory dataset,LOC002
PRD0003,83,Source reorder quantity from online grocery inventory dataset,LOC003
PRD0004,62,Source reorder quantity from online grocery inventory dataset,LOC004
PRD0005,74,Source reorder quantity from online grocery inventory dataset,LOC005
PRD0006,14,Source reorder quantity from online grocery inventory dataset,LOC001
PRD0007,16,Source reorder quantity from online grocery inventory dataset,LOC002
PRD0008,17,Source reorder quantity from online grocery inventory dataset,LOC003
PRD0009,11,Source reorder quantity from online grocery inventory dataset,LOC004
PRD0010,15,Source reorder quantity from online grocery inventory dataset,LOC005
PRD0011,91,Source reorder quantity from online grocery inventory dataset,LOC001
PRD0012,6,Source reorder quantity from online grocery inventory dataset,LOC002
PRD0013,31,Source reorder quantity from online grocery inventory dataset,LOC003
PRD0014,76,Source reorder quantity from online grocery inventory dataset,LOC004
PRD0015,16,Source reorder quantity from online grocery inventory dataset,LOC005
PRD0016,15,Source reorder quantity from online grocery inventory dataset,LOC001
PRD0017,88,Source reorder quantity from online grocery inventory dataset,LOC002
PRD0018,26,Source reorder quantity from online grocery inventory dataset,LOC003
PRD0019,84,Source reorder quantity from online grocery inventory dataset,LOC004
PRD0020,82,Source reorder quantity from online grocery inventory dataset,LOC005
PRD0021,99,Source reorder quantity from online grocery inventory dataset,LOC001
PRD0022,48,Source reorder quantity from online grocery inventory dataset,LOC002
PRD0023,28,Source reorder quantity from online grocery inventory dataset,LOC003
PRD0024,55,Source reorder quantity from online grocery inventory dataset,LOC004
PRD0025,85,Source reorder quantity from online grocery inventory dataset,LOC005
PRD0026,80,Source reorder quantity from online grocery inventory dataset,LOC001
PRD0027,81,Source reorder quantity from online grocery inventory dataset,LOC002
PRD0028,39,Source reorder quantity from online grocery inventory dataset,LOC003
PRD0029,32,Source reorder quantity from online grocery inventory dataset,LOC004
