product_id,quantity,note,location_id
PRD0001,22,Source sales volume from online grocery inventory dataset,LOC001
PRD0002,45,Source sales volume from online grocery inventory dataset,LOC002
PRD0003,30,Source sales volume from online grocery inventory dataset,LOC003
PRD0004,12,Source sales volume from online grocery inventory dataset,LOC004
PRD0005,37,Source sales volume from online grocery inventory dataset,LOC005
PRD0006,34,Source sales volume from online grocery inventory dataset,LOC001
PRD0007,67,Source sales volume from online grocery inventory dataset,LOC002
PRD0008,21,Source sales volume from online grocery inventory dataset,LOC003
PRD0009,56,Source sales volume from online grocery inventory dataset,LOC004
PRD0010,27,Source sales volume from online grocery inventory dataset,LOC005
PRD0011,62,Source sales volume from online grocery inventory dataset,LOC001
PRD0012,91,Source sales volume from online grocery inventory dataset,LOC002
PRD0013,26,Source sales volume from online grocery inventory dataset,LOC003
PRD0014,69,Source sales volume from online grocery inventory dataset,LOC004
PRD0015,54,Source sales volume from online grocery inventory dataset,LOC005
PRD0016,20,Source sales volume from online grocery inventory dataset,LOC001
PRD0017,27,Source sales volume from online grocery inventory dataset,LOC002
PRD0018,49,Source sales volume from online grocery inventory dataset,LOC003
PRD0019,46,Source sales volume from online grocery inventory dataset,LOC004
PRD0020,29,Source sales volume from online grocery inventory dataset,LOC005
PRD0021,72,Source sales volume from online grocery inventory dataset,LOC001
PRD0022,49,Source sales volume from online grocery inventory dataset,LOC002
PRD0023,20,Source sales volume from online grocery inventory dataset,LOC003
PRD0024,73,Source sales volume from online grocery inventory dataset,LOC004
PRD0025,59,Source sales volume from online grocery inventory dataset,LOC005
PRD0026,31,Source sales volume from online grocery inventory dataset,LOC001
PRD0027,97,Source sales volume from online grocery inventory dataset,LOC002
PRD0028,72,Source sales volume from online grocery inventory dataset,LOC003
PRD0029,16,Source sales volume from online grocery inventory dataset,LOC004
PRD0030,61,Source sales volume from online grocery inventory dataset,LOC005
PRD0031,19,Source sales volume from online grocery inventory dataset,LOC001
PRD0032,18,Source sales volume from online grocery inventory dataset,LOC002
PRD0033,42,Source sales volume from online grocery inventory dataset,LOC003
PRD0034,25,Source sales volume from online grocery inventory dataset,LOC004
PRD0035,46,Source sales volume from online grocery inventory dataset,LOC005
PRD0036,39,Source sales volume from online grocery inventory dataset,LOC001
PRD0037,43,Source sales volume from online grocery inventory dataset,LOC002
PRD0038,48,Source sales volume from online grocery inventory dataset,LOC003
PRD0039,61,Source sales volume from online grocery inventory dataset,LOC004
PRD0040,47,Source sales volume from online grocery inventory dataset,LOC005
PRD0041,24,Source sales volume from online grocery inventory dataset,LOC001
PRD0042,12,Source sales volume from online grocery inventory dataset,LOC002
PRD0043,25,Source sales volume from online grocery inventory dataset,LOC003
PRD0044,40,Source sales volume from online grocery inventory dataset,LOC004
PRD0045,32,Source sales volume from online grocery inventory dataset,LOC005
PRD0046,66,Source sales volume from online grocery inventory dataset,LOC001
PRD0047,14,Source sales volume from online grocery inventory dataset,LOC002
PRD0048,44,Source sales volume from online grocery inventory dataset,LOC003
PRD0049,24,Source sales volume from online grocery inventory dataset,LOC004
PRD0050,41,Source sales volume from online grocery inventory dataset,LOC005
PRD0051,38,Source sales volume from online grocery inventory dataset,LOC001
PRD0052,85,Source sales volume from online grocery inventory dataset,LOC002
PRD0053,44,Source sales volume from online grocery inventory dataset,LOC003
PRD0054,61,Source sales volume from online grocery inventory dataset,LOC004
PRD0055,35,Source sales volume from online grocery inventory dataset,LOC005
PRD0056,26,Source sales volume from online grocery inventory dataset,LOC001
PRD0057,32,Source sales volume from online grocery inventory dataset,LOC002
PRD0058,63,Source sales volume from online grocery inventory dataset,LOC003
PRD0059,30,Source sales volume from online grocery inventory dataset,LOC004
PRD0060,28,Source sales volume from online grocery inventory dataset,LOC005
PRD0061,44,Source sales volume from online grocery inventory dataset,LOC001
PRD0062,46,Source sales volume from online grocery inventory dataset,LOC002
PRD0063,30,Source sales volume from online grocery inventory dataset,LOC003
PRD0064,84,Source sales volume from online grocery inventory dataset,LOC004
PRD0065,51,Source sales volume from online grocery inventory dataset,LOC005
PRD0066,61,Source sales volume from online grocery inventory dataset,LOC001
PRD0067,93,Source sales volume from online grocery inventory dataset,LOC002
PRD0068,13,Source sales volume from online grocery inventory dataset,LOC003
PRD0069,45,Source sales volume from online grocery inventory dataset,LOC004
PRD0070,47,Source sales volume from online grocery inventory dataset,LOC005
PRD0071,39,Source sales volume from online grocery inventory dataset,LOC001
PRD0072,29,Source sales volume from online grocery inventory dataset,LOC002
PRD0073,12,Source sales volume from online grocery inventory dataset,LOC003
PRD0074,74,Source sales volume from online grocery inventory dataset,LOC004
PRD0075,35,Source sales volume from online grocery inventory dataset,LOC005
PRD0076,60,Source sales volume from online grocery inventory dataset,LOC001
PRD0077,26,Source sales volume from online grocery inventory dataset,LOC002
PRD0078,20,Source sales volume from online grocery inventory dataset,LOC003
PRD0079,28,Source sales volume from online grocery inventory dataset,LOC004
PRD0080,20,Source sales volume from online grocery inventory dataset,LOC005
PRD0081,38,Source sales volume from online grocery inventory dataset,LOC001
PRD0082,50,Source sales volume from online grocery inventory dataset,LOC002
PRD0083,72,Source sales volume from online grocery inventory dataset,LOC003
PRD0084,41,Source sales volume from online grocery inventory dataset,LOC004
PRD0085,44,Source sales volume from online grocery inventory dataset,LOC005
PRD0086,29,Source sales volume from online grocery inventory dataset,LOC001
PRD0087,21,Source sales volume from online grocery inventory dataset,LOC002
PRD0088,64,Source sales volume from online grocery inventory dataset,LOC003
PRD0089,29,Source sales volume from online grocery inventory dataset,LOC004
PRD0090,51,Source sales volume from online grocery inventory dataset,LOC005
PRD0091,24,Source sales volume from online grocery inventory dataset,LOC001
PRD0092,69,Source sales volume from online grocery inventory dataset,LOC002
PRD0093,53,Source sales volume from online grocery inventory dataset,LOC003
PRD0094,33,Source sales volume from online grocery inventory dataset,LOC004
PRD0095,74,Source sales volume from online grocery inventory dataset,LOC005
PRD0096,27,Source sales volume from online grocery inventory dataset,LOC001
PRD0097,51,Source sales volume from online grocery inventory dataset,LOC002
PRD0098,52,Source sales volume from online grocery inventory dataset,LOC003
PRD0099,43,Source sales volume from online grocery inventory dataset,LOC004
PRD0100,56,Source sales volume from online grocery inventory dataset,LOC005
PRD0101,43,Source sales volume from online grocery inventory dataset,LOC001
PRD0102,84,Source sales volume from online grocery inventory dataset,LOC002
PRD0103,37,Source sales volume from online grocery inventory dataset,LOC003
PRD0104,29,Source sales volume from online grocery inventory dataset,LOC004
PRD0105,13,Source sales volume from online grocery inventory dataset,LOC005
PRD0106,56,Source sales volume from online grocery inventory dataset,LOC001
PRD0107,61,Source sales volume from online grocery inventory dataset,LOC002
PRD0108,53,Source sales volume from online grocery inventory dataset,LOC003
PRD0109,56,Source sales volume from online grocery inventory dataset,LOC004
PRD0110,33,Source sales volume from online grocery inventory dataset,LOC005
PRD0111,23,Source sales volume from online grocery inventory dataset,LOC001
PRD0112,38,Source sales volume from online grocery inventory dataset,LOC002
PRD0113,23,Source sales volume from online grocery inventory dataset,LOC003
PRD0114,35,Source sales volume from online grocery inventory dataset,LOC004
PRD0115,80,Source sales volume from online grocery inventory dataset,LOC005
PRD0116,60,Source sales volume from online grocery inventory dataset,LOC001
PRD0117,44,Source sales volume from online grocery inventory dataset,LOC002
PRD0118,47,Source sales volume from online grocery inventory dataset,LOC003
PRD0119,60,Source sales volume from online grocery inventory dataset,LOC004
PRD0120,20,Source sales volume from online grocery inventory dataset,LOC005
PRD0121,19,Source sales volume from online grocery inventory dataset,LOC001
PRD0122,74,Source sales volume from online grocery inventory dataset,LOC002
PRD0123,24,Source sales volume from online grocery inventory dataset,LOC003
PRD0124,28,Source sales volume from online grocery inventory dataset,LOC004
PRD0125,29,Source sales volume from online grocery inventory dataset,LOC005
PRD0126,14,Source sales volume from online grocery inventory dataset,LOC001
PRD0127,20,Source sales volume from online grocery inventory dataset,LOC002
PRD0128,21,Source sales volume from online grocery inventory dataset,LOC003
PRD0129,43,Source sales volume from online grocery inventory dataset,LOC004
PRD0130,94,Source sales volume from online grocery inventory dataset,LOC005
PRD0131,34,Source sales volume from online grocery inventory dataset,LOC001
PRD0132,20,Source sales volume from online grocery inventory dataset,LOC002
PRD0133,26,Source sales volume from online grocery inventory dataset,LOC003
PRD0134,50,Source sales volume from online grocery inventory dataset,LOC004
PRD0135,25,Source sales volume from online grocery inventory dataset,LOC005
PRD0136,47,Source sales volume from online grocery inventory dataset,LOC001
PRD0137,15,Source sales volume from online grocery inventory dataset,LOC002
