supplier_id,supplier_name,email,phone,address
SUP001,Jaxnation,jaxnation.380371699@supplier.example,9876500001,48 Del Sol Trail
SUP002,Feedmix,feedmix.544702479@supplier.example,9876500002,36 3rd Place
SUP003,Vinder,vinder.540312945@supplier.example,9876500003,3296 Walton Court
SUP004,Brightbean,brightbean.634927603@supplier.example,9876500004,3 Westerfield Crossing
SUP005,Topicstorm,topicstorm.542264308@supplier.example,9876500005,15068 Scoville Court
SUP006,Dabjam,dabjam.862924587@supplier.example,9876500006,050 Mcbride Avenue
SUP007,Tagfeed,tagfeed.043917610@supplier.example,9876500007,12 Truax Court
SUP008,Muxo,muxo.676794930@supplier.example,9876500008,267 International Plaza
SUP009,Thoughtstorm,thoughtstorm.321821895@supplier.example,9876500009,550 Clemons Plaza
SUP010,Wordify,wordify.671374215@supplier.example,9876500010,55782 Welch Hill
SUP011,Fivebridge,fivebridge.620290827@supplier.example,9876500011,04776 Saint Paul Park
SUP012,Zooxo,zooxo.560927992@supplier.example,9876500012,61932 Cascade Crossing
SUP013,Vitz,vitz.576150729@supplier.example,9876500013,13 Forest Run Place
SUP014,Voomm,voomm.751903627@supplier.example,9876500014,5104 Jana Court
SUP015,Babblestorm,babblestorm.709016191@supplier.example,9876500015,00 Drewry Court
SUP016,Youfeed,youfeed.845047617@supplier.example,9876500016,195 Portage Junction
SUP017,Mynte,mynte.296895014@supplier.example,9876500017,52691 8th Drive
SUP018,Reallinks,reallinks.036150558@supplier.example,9876500018,285 1st Park
SUP019,Skivee,skivee.100608515@supplier.example,9876500019,17780 Lindbergh Junction
SUP020,Mydeo,mydeo.388833382@supplier.example,9876500020,7834 Cordelia Alley
SUP021,Devshare,devshare.827376019@supplier.example,9876500021,42 Bunker Hill Junction
SUP022,Jabbertype,jabbertype.878396400@supplier.example,9876500022,08 Randy Junction
SUP023,Gigazoom,gigazoom.510144287@supplier.example,9876500023,37 Browning Trail
SUP024,Chatterbridge,chatterbridge.285750716@supplier.example,9876500024,51890 Lindbergh Terrace
SUP025,Feedspan,feedspan.754656257@supplier.example,9876500025,49869 Bunker Hill Terrace
SUP026,Mydo,mydo.471834911@supplier.example,9876500026,66879 Susan Place
SUP027,Realpoint,realpoint.699332582@supplier.example,9876500027,895 Northland Hill
SUP028,Photospace,photospace.677717656@supplier.example,9876500028,91 Kinsman Terrace
SUP029,Gigazoom,gigazoom.755039347@supplier.example,9876500029,492 Shoshone Road
SUP030,Centizu,centizu.090906360@supplier.example,9876500030,3 Hooker Way
SUP031,Brainverse,brainverse.799154185@supplier.example,9876500031,157 David Center
SUP032,Photojam,photojam.886633393@supplier.example,9876500032,3645 Ridge Oak Drive
SUP033,Kamba,kamba.658426819@supplier.example,9876500033,504 Green Park
SUP034,Pixonyx,pixonyx.078090926@supplier.example,9876500034,26175 Oxford Way
SUP035,Midel,midel.386225251@supplier.example,9876500035,582 Sauthoff Crossing
SUP036,Skyble,skyble.688360350@supplier.example,9876500036,13 Corscot Hill
SUP037,Linklinks,linklinks.047263363@supplier.example,9876500037,67 Little Fleur Road
SUP038,Flipbug,flipbug.942174781@supplier.example,9876500038,4 Raven Drive
SUP039,Kare,kare.617967912@supplier.example,9876500039,70001 Vahlen Lane
SUP040,Snaptags,snaptags.254142945@supplier.example,9876500040,6 Orin Place
SUP041,Twitternation,twitternation.509181373@supplier.example,9876500041,108 Morning Center
SUP042,Layo,layo.340179457@supplier.example,9876500042,867 Merrick Place
SUP043,Realpoint,realpoint.684824786@supplier.example,9876500043,564 Hazelcrest Crossing
SUP044,Kayveo,kayveo.194699841@supplier.example,9876500044,76 Toban Plaza
SUP045,Roombo,roombo.855320172@supplier.example,9876500045,6 Lunder Parkway
SUP046,Voonyx,voonyx.705159048@supplier.example,9876500046,00397 Bay Terrace
SUP047,Browsezoom,browsezoom.417726271@supplier.example,9876500047,8 Surrey Pass
SUP048,Fiveclub,fiveclub.463822024@supplier.example,9876500048,80 Old Shore Plaza
SUP049,Skipfire,skipfire.989407545@supplier.example,9876500049,387 Jay Point
SUP050,Flashspan,flashspan.795759351@supplier.example,9876500050,24045 Bluestem Point
SUP051,Katz,katz.107627936@supplier.example,9876500051,805 Nancy Crossing
SUP052,Devshare,devshare.840470017@supplier.example,9876500052,44022 Barnett Way
